aabenserraagin	[["Viimeisen Aabenserraagin vaiheet", 1]]
ethics	[["Christianity and Ethics: A Handbook of Christian Ethics", 2], ["The Scientific Basis of Morals, and Other Essays: Viz.: Right and Wrong, The Ethics of Belief, The Ethics of Religion", 2], ["A Lie Never Justifiable: A Study in Ethics", 1], ["A Problem in Greek Ethics: Being an inquiry into the phenomenon of sexual inversion, addressed especially to medical psychologists and jurists", 1], ["A Problem in Modern Ethics: Being an Inquiry into the Phenomenon of Sexual Inversion, Addressed Especially to Medical Psychologists and Jurists", 1], ["Abraham Lincoln's Cardinal Traits;: A Study in Ethics, with an Epilogue Addressed to Theologians", 1], ["An Essay on Professional Ethics: Second Edition", 1], ["Consumers and Wage-Earners: The Ethics of Buying Cheap", 1], ["Democracy and Social Ethics", 1], ["Ethics", 1], ["Ethics and Modern Thought: A Theory of Their Relations", 1], ["Ethics in Service", 1], ["Evolution and Ethics, and Other Essays", 1], ["History as past ethics; an introduction to the history of morals", 1], ["International copyright : $b considered in some of its relations to ethics and political economy", 1], ["Moral Philosophy: Ethics, Deontology and Natural Law", 1], ["Moral Science; a Compendium of Ethics", 1], ["Old-Fashioned Ethics and Common-Sense Metaphysics: With Some of Their Applications", 1], ["On the Ethics of Naturalism", 1], ["Outlines of a Critical Theory of Ethics", 1], ["Parallel Paths: A Study in Biology, Ethics, and Art", 1], ["Practical Ethics", 1], ["Problems of Conduct: An Introductory Survey of Ethics", 1], ["Progressive Morality: An Essay in Ethics", 1], ["Recent Tendencies in Ethics: Three Lectures to Clergy Given at Cambridge", 1], ["Sexual ethics", 1], ["Short Studies in Ethics: An Elementary Text-Book for Schools", 1], ["The Crown of Wild Olive: also Munera Pulveris; Pre-Raphaelitism; Aratra Pentelici; The Ethics of the Dust; Fiction, Fair and Foul; The Elements of Drawing", 1], ["The Data of Ethics", 1], ["The Ethics of Coöperation", 1], ["The Ethics of Diet: A Catena of Authorities Deprecatory of the Practice of Flesh Eating", 1], ["The Ethics of Drink and Other Social Questions; Or, Joints In Our Social Armour", 1], ["The Ethics of Medical Homicide and Mutilation", 1], ["The Ethics of the Dust", 1], ["The Key to Theosophy: Being a Clear Exposition, in the Form of Question and Answer, of the Ethics, Science and Philosophy for the Study of Which the Theosophical Society Has Been Founded", 1], ["The Metaphysical Elements of Ethics", 1], ["The Methods of Ethics", 1], ["The ethics of Hercules : $b A study of man's body as the sole determinant of ethical values", 1], ["Theoretical Ethics", 1]]
ethiopia	[["Discoveries in Egypt, Ethiopia and the peninsula of Sinai, in the years 1842-1845, during the mission sent out by his majesty, Frederick William IV of Prussia.", 1], ["The Highlands of Ethiopia", 1], ["Travels in Ethiopia, above the second cataract of the Nile : $b exhibiting the state of that country, and its various inhabitants, under the dominion of Mohammed Ali; and illustrating the antiquities, arts, and history of the ancient kingdom of Meroe", 1]]
ethnic	[["The Basis of Social Relations: A Study in Ethnic Psychology", 1], ["The Pagan Tribes of Borneo: A Description of Their Physical Moral and Intellectual Condition, with Some Discussion of Their Ethnic Relations", 1]]
ethnobotany	[["Ethnobotany of the Ojibwe Indians", 1]]
ethnographic	[["A Migration Legend of the Creek Indians, vol. 1: With a Linguistic, Historic and Ethnographic Introduction", 1], ["The American Race: A Linguistic Classification and Ethnographic Description of the Native Tribes of North and South America", 1], ["The lost Atlantis, and other ethnographic studies", 1]]
ethnographical	[["Opuscula: Essays chiefly Philological and Ethnographical", 1], ["Smokiana: Historical; Ethnographical", 1]]
ethnography	[["Crania Ægyptiaca: Or, Observations on Egyptian Ethnography Derived from Anatomy, History and the Monuments", 1], ["Races and Peoples: Lectures on the Science of Ethnography", 1], ["Some Observations on the Ethnography and Archaeology of the American Aborigines", 1], ["The Races of Man: An Outline of Anthropology and Ethnography", 1]]
ethnologic	[["Essays of an Americanist: I. Ethnologic and Archæologic. II. Mythology and Folk Lore. III. Graphic Systems and Literature. IV. Linguistic.", 1]]
ethnological	[["Ethnological results of the Point Barrow expedition: Ninth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1887-1888, Government Printing Office, Washington, 1892, pages 3-442", 1], ["Native life in East Africa : $b the results of an ethnological research expedition", 1], ["The Arawack Language of Guiana in its Linguistic and Ethnological Relations", 1], ["The Negro: What is His Ethnological Status? 2nd Ed.", 1]]
ethnologist	[["An Ethnologist's View of History: An Address Before the Annual Meeting of the New Jersey Historical Society, at Trenton, New Jersey, January 28, 1896", 1]]
ethnology	[["A Study of Pueblo Architecture: Tusayan and Cibola: Eighth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1886-1887, Government Printing Office, Washington, 1891, pages 3-228", 1], ["A Study of Pueblo Pottery as Illustrative of Zuñi Culture Growth.: Fourth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1882-83, Government Printing Office, Washington, 1886, pages 467-522", 1], ["A Study of Siouan Cults: Eleventh Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1889-1890, Government Printing Office, Washington, 1861, pages 351-544", 1], ["A Study of the Textile Art in Its Relation to the Development of Form and Ornament: Sixth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1884-'85, Government Printing Office, Washington, 1888, (pages 189-252)", 1], ["Aboriginal Remains in Verde Valley, Arizona: Thirteenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1891-92, Government Printing Office, Washington, 1896, pages 179-262", 1], ["Aids to the Study of the Maya Codices: Sixth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1884-85, Government Printing Office, Washington, 1888, pages 253-372", 1], ["Ancient Pottery of the Mississippi Valley: Fourth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1882-83, Government Printing Office, Washington, 1886, pages 361-436", 1], ["Ancient art of the province of Chiriqui, Colombia: Sixth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1884-1885, Government Printing Office, Washington, 1888, pages 3-188", 1], ["Animal Carvings from Mounds of the Mississippi Valley: Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-81, Government Printing Office, Washington, 1883, pages 117-166", 1], ["Archeological Expedition to Arizona in 1895: Seventeenth Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1895-1896, Government Printing Office, Washington, 1898, pages 519-744", 1], ["Art in Shell of the Ancient Americans: Second annual report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-81, pages 179-306", 1], ["Casa Grande Ruin: Thirteenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1891-92, Government Printing Office, Washington, 1896, pages 289-318", 1], ["Catalogue Of Linguistic Manuscripts In The Library Of The Bureau Of Ethnology. (1881 N 01 / 1879-1880 (Pages 553-578))", 1], ["Celtic Scotland : $b A history of ancient Alban. Volume 1 (of 3), History and ethnology", 1], ["Cessions of Land by Indian Tribes to the United States: Illustrated by Those in the State of Indiana: First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-80, Government Printing Office, Washington, 1881, pages 247-262", 1], ["Culture & Ethnology", 1], ["Day Symbols of the Maya Year: Sixteenth Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1894-1895, Government Printing Office, Washington, 1897, pages 199-266.", 1], ["Ethnological results of the Point Barrow expedition: Ninth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1887-1888, Government Printing Office, Washington, 1892, pages 3-442", 1], ["History of the Spanish Conquest of Yucatan and of the Itzas: Papers of the Peabody Museum of American Archaeology and Ethnology, Hard University. Vol. VII.", 1], ["Ifugao Law: (In American Archaeology and Ethnology, Vol. 15, No. 1)", 1], ["Illustrated Catalogue of a Portion of the Collections Made During the Field Season of 1881: Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-82, Government Printing Office, Washington, 1884, pages 427-510", 1], ["Illustrated Catalogue of the Collections Obtained from the Indians of New Mexico And Arizona in 1879: Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-81, Government Printing Office, Washington, 1883, pages 307-428", 1], ["Illustrated Catalogue of the Collections Obtained from the Indians of New Mexico in 1880: Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-81, Government Printing Office, Washington, 1883, pages 429-466", 1], ["Illustrated Catalogue of the Collections Obtained from the Pueblos of Zuñi, New Mexico, and Wolpi, Arizona, in 1881: Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-82, Government Printing Office, Washington, 1884, pages 511-594", 1], ["Illustration of the Method of Recording Indian Languages: From the First Annual Report of the Bureau of Ethnology, Smithsonian Institution", 1], ["Indian Linguistic Families of America, North of Mexico: Seventh Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1885-1886, Government Printing Office, Washington, 1891, pages 1-142", 1], ["Kankanay Ceremonies: (American Archaeology and Ethnology)", 1], ["Myths of the Cherokee: Extract from the Nineteenth Annual Report of the Bureau of American Ethnology", 1], ["Navaho Houses: Seventeenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1895-1896, Government Printing Office, Washington, 1898, pages 469-518", 1], ["Navajo Silversmiths: Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-1881, Government Printing Office, Washington, 1883, pages 167-178", 1], ["Navajo weavers: Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-'82, Government Printing Office, Washington, 1884, pages 371-392.", 1], ["Notes on Certain Maya and Mexican Manuscripts: Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-82, Government Printing Office, Washington, 1884, pages 3-66", 1], ["Notes on the Iroquois: or, Contributions to the Statistics, Aboriginal History, Antiquities and General Ethnology of Western New-York", 1], ["Omaha Dwellings, Furniture and Implements: Thirteenth Annual Report of the Beaurau of American Ethnology to the Secretary of the Smithsonian Institution 1891-1892, Government Printing Office, Washington, 1896, pages 263-288", 1], ["On the Evolution of Language: First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-80, Government Printing Office, Washington, 1881, pages 1-16", 1], ["Origin and Development of Form and Ornament in Ceramic Art.: Fourth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1882-1883, Government Printing Office, Washington, 1886, pages 437-466.", 1], ["Outlines of Zuñi Creation Myths: Thirteenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1891-1892, Government Printing Office, Washington, 1896, pages 321-448", 1], ["Pictographs of the North American Indians. A preliminary paper: Fourth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1882-83, Government Printing Office, Washington, 1886, pages 3-256", 1], ["Picture-Writing of the American Indians: Tenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1888-89, Government Printing Office, Washington, 1893, pages 3-822", 1], ["Prehistoric Textile Art of Eastern United States: Thirteenth Annual Report of the Beaurau of American Ethnology to the Secretary of the Smithsonian Institution 1891-1892, Government Printing Office, Washington, 1896, pages 3-46", 1], ["Prehistoric Textile Fabrics Of The United States, Derived From Impressions On Pottery: Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-82, Government Printing Office, Washington, 1884, pages 393-425", 1], ["Sign Language Among North American Indians Compared With That Among Other Peoples And Deaf-Mutes: First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-1880, Government Printing Office, Washington, 1881, pages 263-552", 1], ["Sketch of the Mythology of the North American Indians: First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-80, Government Printing Office, Washington, 1881, pages 17-56", 1], ["Sketches of Central Asia (1868): Additional chapters on my travels, adventures, and on the ethnology of Central Asia", 1], ["Stone Art: Thirteenth Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1891-1892, Government Printing Office, Washington, 1896, pages 47-178.", 1], ["Studies in Central American Picture-Writing: First Annual Report of the Bureau of Ethnology to the; Secretary of the Smithsonian Institution, 1879-80,; Government Printing Office, Washington, 1881, pages 205-245", 1], ["Studies on Homer and the Homeric Age, Vol. 1 of 3: I. Prolegomena II. Achæis; or, the Ethnology of the Greek Races", 1], ["The Central Eskimo: Sixth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1884-1885, Government Printing Office, Washington, 1888, pages 399-670", 1], ["The Cliff Ruins of Canyon de Chelly, Arizona: Sixteenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1894-95, Government Printing Office, Washington, 1897, pages 73-198", 1], ["The Coronado Expedition, 1540-1542.: Excerpted from the Fourteenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1892-1893, Part 1.", 1], ["The Ethnology of Europe", 1], ["The Ethnology of the British Colonies and Dependencies", 1], ["The Ethnology of the British Islands", 1], ["The Ghost-dance religion and the Sioux outbreak of 1890 : $b Fourteenth annual report of the Bureau of Ethnology, part 2.", 1], ["The Mide'wiwin or \"Grand Medicine Society\" of the Ojibwa: Seventh Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1885-1886, Government Printing Office, Washington, 1891, pages 143-300", 1], ["The Mountain Chant, A Navajo Ceremony: Fifth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1883-84, Government Printing Office, Washington, 1887, pages 379-468", 1], ["The Progress of Ethnology: An Account of Recent Archaeological, Philological and Geographical Researches in Various Parts of the Globe, Tending to Elucidate the Physical History of Man", 1], ["The Repair of Casa Grande Ruin, Arizona, in 1891: Fifteenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1893-94, Government Printing Office, Washington, 1897, pages 315-348", 1], ["The Sacred Formulas of the Cherokees: Seventh Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1885-1886, Government Printing Office, Washington, 1891, pages 301-398", 1], ["The Seminole Indians of Florida: Fifth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1883-84, Government Printing Office, Washington, 1887, pages 469-532", 1], ["Throwing-sticks in the National Museum: Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1883-'84, Government Printing Office, Washington, 1890, pages 279-289", 1], ["Wawenock Myth Texts from Maine: Forty-third Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1925-26, Government Printing Office, Washington, 1928, pages 165-198", 1], ["Wyandot Government: A Short Study of Tribal Society: Bureau of American Ethnology", 1], ["Zuñi Fetiches: Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-1881, Government Printing Office, Washington, 1883, pages 3-45", 1]]
